trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",20,0,-58.25640538671363,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.587782813560387}",20,0,-48.515402887692346,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",25,2,-4.803835697867411,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3631854084160624}",30,0,-116.66350382001606,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.7654140519453434}",20,12,-79.11593474992887,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",20,0,-125.96591718721918,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",20,0,-53.82665280792257,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6960693098638898}",20,15,8.643685559431084,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2666429323599373}",25,5,19.02575136158837,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",20,11,16.867257479851045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6669380616522619}",25,0,-118.31300525513416,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9425194910508831}",25,0,-35.84883401372725,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9873392775238264}",20,0,-81.53209016988373,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.7904239741978156}",20,3,-57.47363070841588,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.3999853149883513}",25,5,4.70779693990559,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580556}",30,11,15.386886234051829,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",20,0,3.352833720255731,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",20,0,-77.49886305264806,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",20,0,-84.35110593169982,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",25,0,-128.9330610981757,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",20,5,-40.70440341719183,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",20,0,3.47417387928179,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4321779448847783}",20,0,-52.09087940022569,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.8116121923430246}",20,0,-62.525530395956054,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9923354691509287}",30,0,-217.0595395323789,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9301004142012892}",25,0,-43.854349587299254,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.6401443394691997}",30,0,-179.10455218186016,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.1934586046207122}",20,12,3.9205071660211086,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",25,18,11.680985736143214,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.7210481538680822}",25,5,-197.92144778074325,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",1
100,False,"{'a': 0.5, 'e': 0.9649660284921133}",25,0,-183.18734722391295,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9726265649744922}",25,3,-72.75953395824985,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.7421541968137826}",25,0,-115.5212023837403,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.32997659774057014}",20,0,-31.305959344554573,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.16299078079570548}",30,0,-27.94750230699612,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.616052331690985}",20,0,-17.560669242899994,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9182827862121189}",25,0,-79.83075461912608,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9956855884367365}",30,0,-95.76860203935995,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8293098328631502}",20,0,-61.41148919935734,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.45989010701310373}",30,8,-17.90351319634547,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.022126756261955732}",20,10,16.544301994647938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
